Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-11-01 00:00:00-04:00,0.8900286766922191,0.9252773038723638,0.00907653032958527,0.9120590686798096,5638392,0.0,0.0,0.0
2020-11-13 00:00:00-05:00,0.8900288496403468,0.8988410081477392,0.8812166911329545,0.894434928894043,2864907,0.0,0.0,0.0
2020-11-16 00:00:00-05:00,0.8944347979080316,0.9145265079586068,0.009076530764096055,0.9076530337333679,436993,0.0,0.0,0.0
2020-11-17 00:00:00-05:00,0.9076530337333679,0.9164651909502589,0.898840876516477,0.9076530337333679,186918,0.0,0.0,0.0
2020-11-18 00:00:00-05:00,0.9076530337333679,0.9145265079586068,0.9006032869500151,0.9076530337333679,319788,0.0,0.0,0.0
2020-11-19 00:00:00-05:00,0.9076530337333679,0.9252773481671498,0.9107372782543598,0.9076530337333679,65310,0.0,0.0,0.0
2020-11-20 00:00:00-05:00,0.9120590919859912,0.9164651704960995,0.9089748475338353,0.9094154238700867,66886,0.0,0.0,0.0
2020-11-23 00:00:00-05:00,0.9120591282844543,0.9164652069699174,0.9129403860412278,0.9120591282844543,121732,0.0,0.0,0.0
2020-11-24 00:00:00-05:00,0.9120590847557166,0.916465163230896,0.9077411425569284,0.916465163230896,110348,0.0,0.0,0.0
2020-11-25 00:00:00-05:00,0.9120590919859912,0.9164651704960995,0.9085342711975838,0.9094154238700867,175373,0.0,0.0,0.0
2020-11-27 00:00:00-05:00,0.9120591282844543,0.9126759771994352,0.9076530495989914,0.9120591282844543,2996,0.0,0.0,0.0
2020-11-30 00:00:00-05:00,0.9120591282844543,0.9164652069699174,0.8829789879505583,0.9120591282844543,861559,0.0,0.0,0.0
2020-12-01 00:00:00-05:00,0.9120592768020934,0.9340896738167876,0.8900288797873993,0.9032471179962158,11681583,0.0,0.0,0.0
2020-12-02 00:00:00-05:00,0.9138215749071787,0.9164652432329025,0.8900287700740779,0.914702832698822,182721,0.0,0.0,0.0
2020-12-03 00:00:00-05:00,0.9147027688188856,0.9252773363340799,0.9164651792298849,0.9208712577819824,161977,0.0,0.0,0.0
2020-12-04 00:00:00-05:00,0.9208713330255991,0.9252774119377136,0.9199901802727006,0.9252774119377136,358562,0.0,0.0,0.0
2020-12-07 00:00:00-05:00,0.9270398020744324,0.9340894433403365,0.925277286708763,0.9270398020744324,122126,0.0,0.0,0.0
2020-12-08 00:00:00-05:00,0.9270398020744324,0.9340894433403365,0.9261585443915976,0.9270398020744324,244378,0.0,0.0,0.0
2020-12-09 00:00:00-05:00,0.9252773008052922,0.932327047227792,0.8922317654580421,0.9129403233528137,443512,0.0,0.0,0.0
2020-12-10 00:00:00-05:00,0.9032469551249225,0.9076530337333679,0.890028719299586,0.9076530337333679,493243,0.0,0.0,0.0
